tier,treatment,block,n_out,n_matched,n_unmatchable,frac_adp_over_neutral,mean_adp_out,mean_adp_matched_out,mean_adp_neutral_pool,adp_gap
Core,CA,B10,328,328,0,0,0.0695014348067057,0.0695014348067057,0.0217834000667603,0.0477180347399453
Core,CA,B11,343,343,0,0,0.0863122513705359,0.0863122513705359,0.0317880772445678,0.0545241741259681
Core,CA,B12,398,398,0,0,0.0854795305245551,0.0854795305245551,0.0325937944467833,0.0528857360777717
Core,SE,B10,1001,1001,0,0,0.104802390998814,0.104802390998814,0.0488186645804602,0.0559837264183534
Core,SE,B11,710,710,0,0,0.0843205216345613,0.0843205216345613,0.0275275905521477,0.0567929310824136
Core,SE,B12,1014,1014,0,0,0.0900957074953236,0.0900957074953236,0.0319141758617053,0.0581815316336183
Core,CASE,B10,1840,1840,0,0,0.110518829986337,0.110518829986337,0.0551906250743945,0.0553282049119424
Core,CASE,B11,1285,1285,0,0,0.0774772915722274,0.0774772915722274,0.0270372028383359,0.0504400887338915
Core,CASE,B12,1838,1838,0,0,0.0869789349677256,0.0869789349677256,0.0307233391065321,0.0562555958611935
Convergent,CA,B10,23,23,0,0,0.0536848533526981,0.0536848533526981,0.0189797554245925,0.0347050979281057
Convergent,CA,B11,32,32,0,0,0.0636178414271251,0.0636178414271251,0.0172914806704038,0.0463263607567214
Convergent,CA,B12,37,37,0,0,0.0927957432676605,0.0927957432676605,0.0244207352638015,0.0683750080038591
Convergent,SE,B10,94,94,0,0,0.123121915205251,0.123121915205251,0.0376830846627079,0.0854388305425434
Convergent,SE,B11,77,77,0,0,0.0431200516539593,0.0431200516539593,0.0153563699865083,0.027763681667451
Convergent,SE,B12,87,87,0,0,0.0466773070377212,0.0466773070377212,0.0173465682207336,0.0293307388169875
Convergent,CASE,B10,488,488,0,0,0.149639209665364,0.149639209665364,0.0619294585035681,0.0877097511617955
Convergent,CASE,B11,364,364,0,0,0.0390004549445479,0.0390004549445479,0.016379050858999,0.022621404085549
Convergent,CASE,B12,429,429,0,0,0.040355357230697,0.040355357230697,0.0157428392251906,0.0246125180055064
Private,CA,B10,38,38,0,0,0.158274699181641,0.158274699181641,0.0716289268786804,0.0866457723029604
Private,CA,B11,42,42,0,0,0.0871414302157714,0.0871414302157714,0.0374470452744714,0.0496943849413
Private,CA,B12,118,118,0,0,0.105568627277024,0.105568627277024,0.04269687887585,0.0628717484011744
Private,SE,B10,98,98,0,0,0.100205404855791,0.100205404855791,0.0730046861245228,0.0272007187312685
Private,SE,B11,30,30,0,0,0.0781210023542382,0.0781210023542382,0.044522414334911,0.0335985880193272
Private,SE,B12,87,87,0,0,0.122870154573077,0.122870154573077,0.0399150281458341,0.0829551264272427
Private,CASE,B10,312,312,0,0,0.107522547533812,0.107522547533812,0.0849925833262779,0.022529964207534
Private,CASE,B11,43,43,0,0,0.0792404014196424,0.0792404014196424,0.0347541416685623,0.0444862597510801
Private,CASE,B12,100,100,0,0,0.109914022133918,0.109914022133918,0.0454197544658731,0.0644942676680448
