cluster_id,cluster,stress_relevant,case_only_cluster,GO,Term,Fisher,gene_LOC,enriched_in_CA,enriched_in_SE,enriched_in_CASE
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111119660,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111128432,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111134230,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111135411,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111100765,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111101036,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111103275,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111118026,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111119669,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111125942,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111130323,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111109553,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111112605,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111117970,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111118435,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111127906,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005856,cytoskeleton,0.00141,LOC111129146,no,no,yes
1,Other: cytoskeleton,no,no,GO:0045732,positive regulation of protein catabolic process,0.0038,LOC111116264,no,yes,no
1,Other: cytoskeleton,no,no,GO:0045732,positive regulation of protein catabolic process,0.0038,LOC111108202,no,yes,no
1,Other: cytoskeleton,no,no,GO:0045732,positive regulation of protein catabolic process,0.0038,LOC111111223,no,yes,no
1,Other: cytoskeleton,no,no,GO:1904491,protein localization to ciliary transition zone,0.0044,LOC111119660,no,yes,no
1,Other: cytoskeleton,no,no,GO:1904491,protein localization to ciliary transition zone,0.0044,LOC111120134,no,yes,no
1,Other: cytoskeleton,no,no,GO:0016459,myosin complex,0.00891,LOC111109745,no,no,yes
1,Other: cytoskeleton,no,no,GO:0016459,myosin complex,0.00891,LOC111118026,no,no,yes
1,Other: cytoskeleton,no,no,GO:0016459,myosin complex,0.00891,LOC111124016,no,no,yes
1,Other: cytoskeleton,no,no,GO:0016459,myosin complex,0.00891,LOC111124621,no,no,yes
1,Other: cytoskeleton,no,no,GO:0016459,myosin complex,0.00891,LOC111127906,no,no,yes
1,Other: cytoskeleton,no,no,GO:0016459,myosin complex,0.00891,LOC111129337,no,no,yes
1,Other: cytoskeleton,no,no,GO:0003774,motor activity,0.01108,LOC111109745,no,no,yes
1,Other: cytoskeleton,no,no,GO:0003774,motor activity,0.01108,LOC111118026,no,no,yes
1,Other: cytoskeleton,no,no,GO:0003774,motor activity,0.01108,LOC111124621,no,no,yes
1,Other: cytoskeleton,no,no,GO:0003774,motor activity,0.01108,LOC111127906,no,no,yes
1,Other: cytoskeleton,no,no,GO:0003774,motor activity,0.01108,LOC111129337,no,no,yes
1,Other: cytoskeleton,no,no,GO:0051010,microtubule plus-end binding,0.0152,LOC111119594,no,yes,no
1,Other: cytoskeleton,no,no,GO:0051010,microtubule plus-end binding,0.0152,LOC111135171,no,yes,no
1,Other: cytoskeleton,no,no,GO:0090090,negative regulation of canonical Wnt signaling pathway,0.01745,LOC111119660,no,yes,no
1,Other: cytoskeleton,no,no,GO:0090090,negative regulation of canonical Wnt signaling pathway,0.01745,LOC111111223,no,yes,yes
1,Other: cytoskeleton,no,no,GO:0090090,negative regulation of canonical Wnt signaling pathway,0.01745,LOC111129146,no,no,yes
1,Other: cytoskeleton,no,no,GO:0090090,negative regulation of canonical Wnt signaling pathway,0.01745,LOC111133318,no,no,yes
1,Other: cytoskeleton,no,no,GO:0005815,microtubule organizing center,0.03601,LOC111119594,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005815,microtubule organizing center,0.03601,LOC111136596,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005881,cytoplasmic microtubule,0.03741,LOC111111223,no,yes,no
1,Other: cytoskeleton,no,no,GO:0005881,cytoplasmic microtubule,0.03741,LOC111119594,no,yes,no
