cluster_id,cluster,CA,SE,CASE,n,minF,case_only
23,Ubiquitin-proteasome / translational repression,6,6,5,6,1.7e-11,FALSE
7,Translation initiation,0,2,7,7,3.1e-08,FALSE
3,Protein folding / chaperone,3,11,12,15,4.4e-06,FALSE
19,Acid-base / V-type ATPase,2,4,3,4,2e-04,FALSE
26,Mitochondrial calcium,0,0,3,3,0.00042,TRUE
4,Cilium / ciliary motility,5,6,12,16,0.00051,FALSE
12,Stress granule / mRNA processing,6,1,3,8,0.00068,FALSE
24,Na/K ionoregulation,4,3,4,4,0.00186,FALSE
21,Ubiquitin ligase / proteolysis,0,0,4,4,0.01282,TRUE
25,Steroid / progesterone metabolism,0,0,3,3,0.02211,TRUE
