Name	Total Larvae	Calculated Larvae	%_Initial Calculated	Composite Larvae	%_Initial_Composite	Average Larvae	%_Initial_Average	Seeded	%_Initial_Seeded	Block	Treatment	Time
CS.B6.T0.J01	78	89700	100	102019.4444	100	122858.3333	100	93500	100	6	CASE	0
CS.B6.T0.J02	103	118450	100	111602.7778	100	122858.3333	100	93500	100	6	CON	0
CS.B6.T0.J03	111	127650	100	114669.4444	100	122858.3333	100	93500	100	6	SE	0
CS.B6.T0.J04	111	127650	100	114669.4444	100	122858.3333	100	93500	100	6	SE	0
CS.B6.T0.J05	119.5	137425	100	117927.7778	100	122858.3333	100	93500	100	6	CA	0
CS.B6.T0.J06	106	121900	100	112752.7778	100	122858.3333	100	93500	100	6	CON	0
CS.B6.T0.J07	100.5	115575	100	110644.4444	100	122858.3333	100	93500	100	6	CASE	0
CS.B6.T0.J08	78.5	90275	100	102211.1111	100	122858.3333	100	93500	100	6	CA	0
CS.B6.T0.J09	187.5	215625	100	143994.4444	100	122858.3333	100	93500	100	6	SE	0
CS.B6.T0.J10	91.5	105225	100	107194.4444	100	122858.3333	100	93500	100	6	CA	0
CS.B6.T0.J11	98.5	113275	100	109877.7778	100	122858.3333	100	93500	100	6	CON	0
CS.B6.T0.J12	97	111550	100	109302.7778	100	122858.3333	100	93500	100	6	CASE	0
CS.B6.T04.J01	76	29087.73333	32.42779636	NA	28.51195034	NA	23.6758326	NA	31.10987522	6	CASE	4
CS.B6.T04.J02	65	24877.66667	21.00267342	NA	22.29126117	NA	20.24906735	NA	26.60713012	6	CON	4
CS.B6.T04.J03	121	46310.73333	36.27946207	NA	40.38628909	NA	37.69441769	NA	49.53019608	6	SE	4
CS.B6.T04.J04	100.5	38464.7	30.13294164	NA	33.54398392	NA	31.30817337	NA	41.13871658	6	SE	4
CS.B6.T04.J05	161	61620.06667	44.8390516	NA	52.25237669	NA	50.15538222	NA	65.90381462	6	CA	4
CS.B6.T04.J06	118	45162.53333	37.04883785	NA	40.05447513	NA	36.75984535	NA	48.30217469	6	CON	4
CS.B6.T04.J07	130	49755.33333	43.05025597	NA	44.96866841	NA	40.49813471	NA	53.21426025	6	CASE	4
CS.B6.T04.J08	138.5	53008.56667	58.71898828	NA	51.86184368	NA	43.14608967	NA	56.69365419	6	CA	4
CS.B6.T04.J09	115	44014.33333	20.41244444	NA	30.56668853	NA	35.82527301	NA	47.0741533	6	SE	4
CS.B6.T04.J10	122	46693.46667	44.37487923	NA	43.55959575	NA	38.0059418	NA	49.93953654	6	CA	4
CS.B6.T04.J11	97	37125.13333	32.77433973	NA	33.78766306	NA	30.21783897	NA	39.70602496	6	CON	4
