snp,dCA,dCA_l,dSE,dSE_l,dCASE,dCASE_l,dCON,dCON_l,block,o,CASE_eff,CA_eff,SE_eff,dCON_o,I,S3,I_l
NC_035780.1_11145045,-0.01096136782005,-0.211974571144876,0.0627857365628253,0.78213550183021,0.0784144957231579,0.919595040717569,0.0482047048774227,0.639629288827353,B10,1,0.0302097908457351,-0.0591660726974727,0.0145810316854025,0.0482047048774227,0.0747948318578053,0.0265901269803825,0.989063398859588
NC_035780.1_11153650,-0.0627962100704342,-1.26088407579763,-0.0764499755325443,-1.96847080851146,-0.0580818959924011,-1.09669626284326,-0.031655542181858,-0.467101152089533,B10,-1,0.0264263538105431,0.0311406678885762,0.0447944333506864,0.031655542181858,-0.0495087474287195,-0.0811642896105774,-1.66555746937629
NC_035780.1_11456907,0.0295224834983498,1.5944123717746,0.034476338612368,1.72416404427416,0.0652303387571245,2.30332583553107,0.00322701890034364,0.34901417610944,B10,1,0.0620033198567808,0.0262954645980062,0.0312493197120244,0.00322701890034364,0.00445853554675025,0.00123151664640661,-0.666236404408249
NC_035780.1_11460694,0.0348281631467473,0.144972920463987,0.212328495758728,0.862767010649197,-0.269028393428987,-1.10505425964141,0.0303142211036948,0.126404800911343,B10,-1,0.299342614532682,-0.00451394204305244,-0.182014274655034,-0.0303142211036948,0.485870831230768,0.516185052334462,1.98638938984325
NC_035780.1_11460721,0.0454336032927967,0.188010501971501,0.250399774983494,1.02403700268582,-0.258301892121217,-1.05839234095409,0.0305429641910075,0.127071681120617,B10,-1,0.288844856312224,-0.0148906391017892,-0.219856810792487,-0.0305429641910075,0.5235923062065,0.554135270397507,2.14336816449079
NC_035780.1_11460778,0.0432297394481569,0.175421823178167,-0.184177947238529,-0.745681565239238,-0.210783872749019,-0.858364734967104,0.0250732844142412,0.10217323755128,B10,-1,0.23585715716326,-0.0181564550339157,0.209251231652771,-0.0250732844142412,0.0447623805444051,0.0698356649586463,0.185931755354754
NC_035780.1_11542240,0.00717690254895337,0.380361058141161,0.0529816269451823,1.52271664650864,0.0693086323441281,1.7531948762412,0.0115242444009567,0.557601688563722,B10,1,0.0577843879431713,-0.00434734185200337,0.0414573825442256,0.0115242444009567,0.0206743472509491,0.0091501028499924,0.407718860155123
NC_035780.1_13060561,0.0727911773755979,0.343948217508345,0.12339130096483,0.561830034783367,0.156763535469069,0.699874332128049,0.0241937368154023,0.119603919872893,B10,1,0.132569798653667,0.0485974405601957,0.0991975641494281,0.0241937368154023,-0.015225206055957,-0.0394189428713592,-0.0863000002907698
NC_035780.1_13164394,0.0358434978551285,2.57985601414551,0.0589222437190982,3.06994384342635,0.100615544933146,3.62984077763901,0.030860378671761,2.43760924086872,B10,1,0.0697551662613849,0.00498311918336741,0.0280618650473372,0.030860378671761,0.0367101820306803,0.00584980335891921,0.417650160935871
NC_035780.1_14433594,0.0843266969613283,0.339396748491715,0.09566415527074,0.384802427028298,-0.206048731011272,-0.83947032449538,0.0100595153412055,0.0409919522136908,B10,-1,0.216108246352478,-0.0742671816201228,-0.0856046399295345,-0.0100595153412055,0.375980067902135,0.386039583243341,1.5226775478017
