sample,PC1,PC2,Treatment,Spawn,PC1_var,PC2_var
CA_B12,-28.4630344978207,41.2419538966356,CA,B12,22.4052913200664,11.3249046612531
CA_B11,-29.8050828133669,-39.9506335123003,CA,B11,22.4052913200664,11.3249046612531
CA_B12,-28.6650845501707,38.7086827791611,CA,B12,22.4052913200664,11.3249046612531
CA_B10,78.252895127246,-0.555645730958865,CA,B10,22.4052913200664,11.3249046612531
CA_B11,-27.8221335942089,-41.026589975034,CA,B11,22.4052913200664,11.3249046612531
CA_B10,74.935612085113,-0.243570167102253,CA,B10,22.4052913200664,11.3249046612531
CA_B11,-30.131174491592,-39.0694589247385,CA,B11,22.4052913200664,11.3249046612531
CA_B12,-31.1222277916132,39.07923120314,CA,B12,22.4052913200664,11.3249046612531
CA_B10,76.0515708640323,1.32167668201489,CA,B10,22.4052913200664,11.3249046612531
CA_B12,-29.868595752809,39.8548644146717,CA,B12,22.4052913200664,11.3249046612531
CA_B11,-29.3095757653188,-38.9607428983418,CA,B11,22.4052913200664,11.3249046612531
CASE_B10,63.447616752808,0.300600806557144,CASE,B10,22.4052913200664,11.3249046612531
CASE_B11,-28.2126650325035,-40.5035195705972,CASE,B11,22.4052913200664,11.3249046612531
CASE_B12,-29.4461377012921,39.0414030187822,CASE,B12,22.4052913200664,11.3249046612531
CASE_B12,-30.4607977883838,40.2301567620015,CASE,B12,22.4052913200664,11.3249046612531
CASE_B10,70.7129930750367,-0.295300224053417,CASE,B10,22.4052913200664,11.3249046612531
CASE_B12,-29.3474525378289,39.4826913961771,CASE,B12,22.4052913200664,11.3249046612531
CASE_B11,-29.4956123213107,-39.5032710356255,CASE,B11,22.4052913200664,11.3249046612531
CASE_B10,68.4771816477271,1.40525853721684,CASE,B10,22.4052913200664,11.3249046612531
CASE_B11,-28.2826371222365,-38.6927570839677,CASE,B11,22.4052913200664,11.3249046612531
CASE_B11,-29.4726923315775,-39.9661068285999,CASE,B11,22.4052913200664,11.3249046612531
CASE_B12,-29.9127218706605,41.7333372487989,CASE,B12,22.4052913200664,11.3249046612531
CON_B10,78.2123096007765,0.609087850131519,CON,B10,22.4052913200664,11.3249046612531
CON_B11,-28.5342476233341,-38.7581004159957,CON,B11,22.4052913200664,11.3249046612531
CON_B12,-29.1999067611569,39.3487475675137,CON,B12,22.4052913200664,11.3249046612531
CON_B11,-31.2886080897408,-40.4664600106212,CON,B11,22.4052913200664,11.3249046612531
CON_B10,76.7647412211138,-2.15211914099416,CON,B10,22.4052913200664,11.3249046612531
CON_B12,-30.5198895863715,38.7411398749437,CON,B12,22.4052913200664,11.3249046612531
CON_B10,74.7407423005845,0.176823943797445,CON,B10,22.4052913200664,11.3249046612531
CON_B11,-28.7814633820582,-42.5530807385901,CON,B11,22.4052913200664,11.3249046612531
CON_B12,-29.1838459900243,40.5170746022795,CON,B12,22.4052913200664,11.3249046612531
CON_B11,-29.5314819119165,-40.039707471585,CON,B11,22.4052913200664,11.3249046612531
CON_B12,-30.4578091764309,40.9614398590253,CON,B12,22.4052913200664,11.3249046612531
IS_B10,76.7193062449397,-0.0083810081677032,IS,B10,22.4052913200664,11.3249046612531
IS_B11,-29.1823150322447,-39.3525506296875,IS,B11,22.4052913200664,11.3249046612531
IS_B10,79.4570186899912,0.754996482470846,IS,B10,22.4052913200664,11.3249046612531
IS_B11,-30.5054103038106,-38.1312915405825,IS,B11,22.4052913200664,11.3249046612531
IS_B10,76.0850226697588,0.126519747074695,IS,B10,22.4052913200664,11.3249046612531
IS_B11,-29.6939169723549,-37.7420062691201,IS,B11,22.4052913200664,11.3249046612531
IS_B10,76.3143428086253,-0.546398752388917,IS,B10,22.4052913200664,11.3249046612531
IS_B11,-29.9089781627409,-37.0762769308781,IS,B11,22.4052913200664,11.3249046612531
IS_B12,-29.7631762508776,37.264623322552,IS,B12,22.4052913200664,11.3249046612531
IS_B12,-28.8535386068162,35.9597210778663,IS,B12,22.4052913200664,11.3249046612531
IS_B12,-30.1226071400472,36.7105791098896,IS,B12,22.4052913200664,11.3249046612531
IS_B12,-31.5432086354225,35.839400250847,IS,B12,22.4052913200664,11.3249046612531
SE_B11,-29.9697241909948,-38.1028045234421,SE,B11,22.4052913200664,11.3249046612531
SE_B12,-29.5954138965862,40.5172217704005,SE,B12,22.4052913200664,11.3249046612531
SE_B10,72.8823835636402,-0.272906623465708,SE,B10,22.4052913200664,11.3249046612531
SE_B10,72.8497869125171,0.391462776595545,SE,B10,22.4052913200664,11.3249046612531
SE_B11,-29.9920397461252,-38.042125192624,SE,B11,22.4052913200664,11.3249046612531
SE_B11,-30.3324234789012,-41.2808806428125,SE,B11,22.4052913200664,11.3249046612531
SE_B10,69.3881657285493,0.913235493179407,SE,B10,22.4052913200664,11.3249046612531
SE_B12,-29.946974577168,41.4641097779024,SE,B12,22.4052913200664,11.3249046612531
SE_B12,-29.5688411916164,40.5939102116782,SE,B12,22.4052913200664,11.3249046612531
SE_B11,-30.0299513823047,-40.3017849147671,SE,B11,22.4052913200664,11.3249046612531
SE_B12,-28.9682912407231,40.3045202937375,SE,B12,22.4052913200664,11.3249046612531
