snp,dCA,dSE,dCASE,block,dCASE_o,dCA_o,dSE_o,add,syn
NC_035780.1_15610936,0.0126262626262626,0.0689423869955038,0.127607404990772,B10,0.127607404990772,0.0126262626262626,0.0689423869955038,0.0815686496217664,0.0460387553690058
NC_035780.1_17015396,0.035973285973286,0.0305259777130317,0.110373463594313,B10,0.110373463594313,0.035973285973286,0.0305259777130317,0.0664992636863177,0.043874199907995
NC_035780.1_17684430,0.0191919191919192,0.0823078730055474,0.108496732026144,B10,0.108496732026144,0.0191919191919192,0.0823078730055474,0.101499792197467,0.00699693982867718
NC_035780.1_1882217,0.0492002347934551,0.0792034819643958,0.1102585961921,B10,0.1102585961921,0.0492002347934551,0.0792034819643958,0.128403716757851,-0.0181451205657509
NC_035780.1_19793486,0.00100027271310581,0.0631023411080592,0.108161672908864,B10,0.108161672908864,0.00100027271310581,0.0631023411080592,0.064102613821165,0.0440590590876989
NC_035780.1_20467136,0.000828345016288,0.0244407152132654,0.079787313108737,B10,0.079787313108737,0.000828345016288,0.0244407152132654,0.0252690602295534,0.0545182528791836
NC_035780.1_24474445,0.0174611731288294,0.0311081166908414,0.0710107234627491,B10,0.0710107234627491,0.0174611731288294,0.0311081166908414,0.0485692898196707,0.0224414336430783
NC_035780.1_24474469,0.0171455938697318,0.0297380129054498,0.0825720768294872,B10,0.0825720768294872,0.0171455938697318,0.0297380129054498,0.0468836067751816,0.0356884700543056
NC_035780.1_24474513,0.0189237098662079,0.0419925851709278,0.0820740119724883,B10,0.0820740119724883,0.0189237098662079,0.0419925851709278,0.0609162950371356,0.0211577169353527
NC_035780.1_25165809,0.0169191919191919,0.116919191919192,0.113995020774682,B10,0.113995020774682,0.0169191919191919,0.116919191919192,0.133838383838384,-0.019843363063702
NC_035780.1_26242761,0.0105854272158398,0.0264170848739065,0.0665477329276852,B10,0.0665477329276852,0.0105854272158398,0.0264170848739065,0.0370025120897463,0.0295452208379388
NC_035780.1_26642058,0.0233723660742294,0.0344650982200624,0.0874063501650167,B10,0.0874063501650167,0.0233723660742294,0.0344650982200624,0.0578374642942918,0.0295688858707249
NC_035780.1_26886554,0.0353673948745771,0.0474423612473885,0.0890658730773006,B10,0.0890658730773006,0.0353673948745771,0.0474423612473885,0.0828097561219656,0.00625611695533503
NC_035780.1_29900955,0.0315182551636749,0.0500731565985803,0.0876984126984127,B10,0.0876984126984127,0.0315182551636749,0.0500731565985803,0.0815914117622552,0.0061070009361575
NC_035780.1_33923386,0.022109468554978,0.0360520813151503,0.0953603794729319,B10,0.0953603794729319,0.022109468554978,0.0360520813151503,0.0581615498701283,0.0371988296028036
NC_035780.1_47301854,0.000245587745587743,0.0590966957246027,0.0857906615155994,B10,0.0857906615155994,0.000245587745587743,0.0590966957246027,0.0593422834701905,0.0264483780454089
NC_035780.1_54733757,0.023979564542877,0.0235365307282105,0.109651553496903,B10,0.109651553496903,0.023979564542877,0.0235365307282105,0.0475160952710875,0.0621354582258156
NC_035780.1_54733802,-0.00678781485743511,0.01711833732115,0.112121494303955,B10,0.112121494303955,-0.00678781485743511,0.01711833732115,0.0103305224637149,0.101790971840241
NC_035780.1_55857829,-0.0447960172305661,0.00965483499977685,0.126175939602005,B10,0.126175939602005,-0.0447960172305661,0.00965483499977685,-0.0351411822307892,0.161317121832794
NC_035780.1_5750545,0.0175925925925926,0.0106413315494796,0.0346694371067781,B10,0.0346694371067781,0.0175925925925926,0.0106413315494796,0.0282339241420722,0.00643551296470596
NC_035780.1_60346285,0.0504912923333976,0.0593654943223027,0.202889129649693,B10,0.202889129649693,0.0504912923333976,0.0593654943223027,0.1098567866557,0.0930323429939927
NC_035780.1_60806617,0.0378672821123685,0.0541171850926373,0.0770058708414873,B10,0.0770058708414873,0.0378672821123685,0.0541171850926373,0.0919844672050058,-0.0149785963635185
NC_035780.1_623970,-0.019592459409393,0.0232921318447634,0.109113497601576,B10,0.109113497601576,-0.019592459409393,0.0232921318447634,0.00369967243537038,0.105413825166206
NC_035780.1_62659390,-0.00405798297313225,0.0482368616546375,0.069473069508184,B10,0.069473069508184,-0.00405798297313225,0.0482368616546375,0.0441788786815053,0.0252941908266787
NC_035780.1_62659542,0.019333458905852,0.027843000163526,0.0653775637470544,B10,0.0653775637470544,0.019333458905852,0.027843000163526,0.047176459069378,0.0182011046776764
NC_035780.1_626842,0.0167612205655684,0.0476108776597617,0.098640526378799,B10,0.098640526378799,0.0167612205655684,0.0476108776597617,0.0643720982253301,0.0342684281534689
NC_035780.1_6409702,-0.0173765537983162,0.0291857412000493,0.105754459040555,B10,0.105754459040555,-0.0173765537983162,0.0291857412000493,0.0118091874017331,0.0939452716388217
NC_035780.1_64533774,0.0263287213022927,0.0414221712620614,0.0660818973850666,B10,0.0660818973850666,0.0263287213022927,0.0414221712620614,0.0677508925643541,-0.00166899517928754
NC_035781.1_13219981,0.0273847845659829,0.0757411733709527,0.105405529003062,B10,0.105405529003062,0.0273847845659829,0.0757411733709527,0.103125957936936,0.00227957106612689
NC_035781.1_14932245,0.00932677448643259,0.058141807236135,0.0801239248289453,B10,0.0801239248289453,0.00932677448643259,0.058141807236135,0.0674685817225676,0.0126553431063777
NC_035781.1_16061320,0.0122157611761186,0.0370334287014143,0.0601068633512043,B10,0.0601068633512043,0.0122157611761186,0.0370334287014143,0.0492491898775329,0.0108576734736714
NC_035781.1_16395764,0.0543247519852575,0.0999519609704459,0.158510550511221,B10,0.158510550511221,0.0543247519852575,0.0999519609704459,0.154276712955703,0.0042338375555179
NC_035781.1_16411970,-0.0079189460528203,0.0725725624726735,0.136605983879381,B10,0.136605983879381,-0.0079189460528203,0.0725725624726735,0.0646536164198532,0.0719523674595279
NC_035781.1_16757531,-0.0113271916346283,0.0233314027291306,0.103557293033337,B10,0.103557293033337,-0.0113271916346283,0.0233314027291306,0.0120042110945024,0.0915530819388344
NC_035781.1_17519685,0.00454868514570007,0.0839901459405443,0.112574754894988,B10,0.112574754894988,0.00454868514570007,0.0839901459405443,0.0885388310862444,0.0240359238087431
NC_035781.1_17850618,0.0197841301366624,0.0763505686963902,0.0893078106884199,B10,0.0893078106884199,0.0197841301366624,0.0763505686963902,0.0961346988330526,-0.00682688814463267
NC_035781.1_22827885,0.0177537959152805,0.0649526114135915,0.100902009330204,B10,0.100902009330204,0.0177537959152805,0.0649526114135915,0.082706407328872,0.0181956020013317
NC_035781.1_2700273,-0.00656441041154597,0.0533440938711197,0.0960668064112709,B10,0.0960668064112709,-0.00656441041154597,0.0533440938711197,0.0467796834595737,0.0492871229516972
NC_035781.1_2700286,0.0115685758475132,0.0779705445604063,0.10652168918298,B10,0.10652168918298,0.0115685758475132,0.0779705445604063,0.0895391204079195,0.01698256877506
NC_035781.1_29743007,-0.000618053492671826,0.0366419975793458,0.0896662058029769,B10,0.0896662058029769,-0.000618053492671826,0.0366419975793458,0.036023944086674,0.0536422617163029
NC_035781.1_2984364,0.0331023177630847,0.0244549157823494,0.0902379172992061,B10,0.0902379172992061,0.0331023177630847,0.0244549157823494,0.0575572335454341,0.032680683753772
NC_035781.1_29915692,0.028583015827777,-0.00423073572729821,0.0734950325560555,B10,0.0734950325560555,0.028583015827777,-0.00423073572729821,0.0243522801004788,0.0491427524555767
NC_035781.1_30627691,0.0358108231637643,0.103661928043855,0.151334382325874,B10,0.151334382325874,0.0358108231637643,0.103661928043855,0.139472751207619,0.0118616311182548
NC_035781.1_30691281,0.0186925647451963,0.0692249932145829,0.106321110509205,B10,0.106321110509205,0.0186925647451963,0.0692249932145829,0.0879175579597792,0.0184035525494254
NC_035781.1_30788466,0.0362105238134858,0.0423613948024106,0.106960996143174,B10,0.106960996143174,0.0362105238134858,0.0423613948024106,0.0785719186158964,0.0283890775272779
NC_035781.1_31856270,0.0463979717656057,0.038061278710662,0.110170302131115,B10,0.110170302131115,0.0463979717656057,0.038061278710662,0.0844592504762678,0.025711051654847
NC_035781.1_35582348,0.020126950264001,0.0360522139242861,0.0856432259874154,B10,0.0856432259874154,0.020126950264001,0.0360522139242861,0.0561791641882871,0.0294640617991283
NC_035781.1_35582349,0.0116491117093654,0.0299817039221079,0.074271114700548,B10,0.074271114700548,0.0116491117093654,0.0299817039221079,0.0416308156314734,0.0326402990690747
NC_035781.1_3570793,0.0454793981878583,0.0500768049155146,0.16999789162977,B10,0.16999789162977,0.0454793981878583,0.0500768049155146,0.0955562031033729,0.0744416885263972
NC_035781.1_37049220,0.0383281754350937,0.115244708994709,0.151745195223456,B10,0.151745195223456,0.0383281754350937,0.115244708994709,0.153572884429803,-0.00182768920634657
NC_035781.1_38137074,0.0364979100066979,0.0652499295514044,0.0758095228965101,B10,0.0758095228965101,0.0364979100066979,0.0652499295514044,0.101747839558102,-0.0259383166615922
NC_035781.1_40706660,0.015318648872798,0.063154619133164,0.0999771908407506,B10,0.0999771908407506,0.015318648872798,0.063154619133164,0.078473268005962,0.0215039228347886
NC_035781.1_40706661,0.0179099607100916,0.0683949597966634,0.101969447066112,B10,0.101969447066112,0.0179099607100916,0.0683949597966634,0.0863049205067549,0.0156645265593575
NC_035781.1_41536574,-0.0884794455462651,-0.143363506508097,-0.181202735766762,B10,0.181202735766762,0.0884794455462651,0.143363506508097,0.231842952054362,-0.0506402162875999
NC_035781.1_42270798,-0.0193431349019399,0.0200927549534142,0.0870738335629943,B10,0.0870738335629943,-0.0193431349019399,0.0200927549534142,0.000749620051474366,0.0863242135115199
NC_035781.1_42388762,0.00749063670411985,0.0661058359709034,0.0905339328067478,B10,0.0905339328067478,0.00749063670411985,0.0661058359709034,0.0735964726750233,0.0169374601317245
NC_035781.1_42388782,-0.00522113022113022,0.0596100116574255,0.070990990990991,B10,0.070990990990991,-0.00522113022113022,0.0596100116574255,0.0543888814362952,0.0166021095546958
NC_035781.1_42546576,0.101062194269741,0.0863837312113174,0.172083648274124,B10,0.172083648274124,0.101062194269741,0.0863837312113174,0.187445925481059,-0.0153622772069344
NC_035781.1_42700387,0.0143578643578644,0.0605961770345332,0.0891293083342356,B10,0.0891293083342356,0.0143578643578644,0.0605961770345332,0.0749540413923976,0.014175266941838
NC_035781.1_44773747,0.0560225238420727,0.0350212269620693,0.113886934083978,B10,0.113886934083978,0.0560225238420727,0.0350212269620693,0.091043750804142,0.0228431832798364
NC_035781.1_48164715,-0.00775169754163405,-0.0197463768115942,-0.159738274322754,B10,0.159738274322754,0.00775169754163405,0.0197463768115942,0.0274980743532283,0.132240199969526
NC_035781.1_48393303,0.0357586920662517,0.0268109893532026,0.11749998712024,B10,0.11749998712024,0.0357586920662517,0.0268109893532026,0.0625696814194543,0.054930305700786
NC_035781.1_5180539,0.027968345388467,0.058315645979688,0.0654701817303443,B10,0.0654701817303443,0.027968345388467,0.058315645979688,0.086283991368155,-0.0208138096378106
NC_035781.1_52597888,-0.0355720195959886,-0.0977770335187215,-0.163181026857463,B10,0.163181026857463,0.0355720195959886,0.0977770335187215,0.13334905311471,0.0298319737427532
NC_035781.1_52597904,-0.0548941798941799,-0.111195948066918,-0.177525252525253,B10,0.177525252525253,0.0548941798941799,0.111195948066918,0.166090127961098,0.0114351245641544
NC_035781.1_53496634,0.0302820717101524,0.0504995177934464,0.0944619030446654,B10,0.0944619030446654,0.0302820717101524,0.0504995177934464,0.0807815895035989,0.0136803135410665
NC_035781.1_551673,0.03539972899729,0.047571537946215,0.0831325435976599,B10,0.0831325435976599,0.03539972899729,0.047571537946215,0.0829712669435049,0.000161276654154954
NC_035781.1_5872005,0.0256626546949128,0.0384710624061537,0.0818123299620356,B10,0.0818123299620356,0.0256626546949128,0.0384710624061537,0.0641337171010664,0.0176786128609692
NC_035781.1_5872074,-0.0221324178051165,0.0434015163673324,0.0908808551344185,B10,0.0908808551344185,-0.0221324178051165,0.0434015163673324,0.021269098562216,0.0696117565722025
NC_035781.1_6230962,0.0112124584630999,0.04455791981685,0.090114700729574,B10,0.090114700729574,0.0112124584630999,0.04455791981685,0.0557703782799499,0.0343443224496241
NC_035781.1_643526,0.012526864186381,0.0684317254966133,0.109240067100399,B10,0.109240067100399,0.012526864186381,0.0684317254966133,0.0809585896829943,0.0282814774174047
NC_035781.1_7913840,0.0101750749178086,0.0473367194554105,0.0699334619681699,B10,0.0699334619681699,0.0101750749178086,0.0473367194554105,0.0575117943732191,0.0124216675949509
NC_035781.1_9144930,-0.00550964588019726,0.0233547708922269,0.094778614077874,B10,0.094778614077874,-0.00550964588019726,0.0233547708922269,0.0178451250120296,0.0769334890658444
NC_035782.1_15117821,0.0510888196281455,0.0231034669592485,0.123188031629488,B10,0.123188031629488,0.0510888196281455,0.0231034669592485,0.074192286587394,0.0489957450420944
NC_035782.1_17451590,0.0248291482241471,0.0630965717793297,0.132780776201048,B10,0.132780776201048,0.0248291482241471,0.0630965717793297,0.0879257200034768,0.0448550561975709
NC_035782.1_17452202,-0.00797344549019098,0.0791191908703667,0.09581693875498,B10,0.09581693875498,-0.00797344549019098,0.0791191908703667,0.0711457453801757,0.0246711933748043
NC_035782.1_18097316,0.0233785150565702,0.0583534767295953,0.0855293166081166,B10,0.0855293166081166,0.0233785150565702,0.0583534767295953,0.0817319917861655,0.00379732482195115
NC_035782.1_20406276,0.0142348731710434,-0.00929054054054054,0.127632027632028,B10,0.127632027632028,0.0142348731710434,-0.00929054054054054,0.00494433263050283,0.122687695001525
NC_035782.1_20654454,0.0255702331379946,0.0651612903225806,0.0906179270835652,B10,0.0906179270835652,0.0255702331379946,0.0651612903225806,0.0907315234605753,-0.000113596377010056
NC_035782.1_24878916,0.0178713887641284,0.0595534437810108,0.0853958168100846,B10,0.0853958168100846,0.0178713887641284,0.0595534437810108,0.0774248325451392,0.0079709842649454
NC_035782.1_24963626,-0.0203252032520325,0.061566992788572,0.115505632578803,B10,0.115505632578803,-0.0203252032520325,0.061566992788572,0.0412417895365394,0.0742638430422639
NC_035782.1_26264499,0.0321757527673706,0.0647141423569484,0.0734401125864541,B10,0.0734401125864541,0.0321757527673706,0.0647141423569484,0.096889895124319,-0.023449782537865
NC_035782.1_26506083,-0.0171032610575094,0.0721704788813322,0.133606037388655,B10,0.133606037388655,-0.0171032610575094,0.0721704788813322,0.0550672178238228,0.0785388195648323
NC_035782.1_26909595,0.0176823917180716,0.045570906440695,0.0655837759021363,B10,0.0655837759021363,0.0176823917180716,0.045570906440695,0.0632532981587666,0.0023304777433697
