gene,glab,block,rel
LOC111119123,LOC111119123,B10,0
LOC111119123,LOC111119123,B12,0
LOC111119123,LOC111119123,B10,0.089
LOC111119123,LOC111119123,B10,0.095
LOC111119123,LOC111119123,B11,0.095
LOC111119123,LOC111119123,B10,0.748
LOC111119123,LOC111119123,B11,0.748
LOC111119123,LOC111119123,B10,0.991
LOC111119123,LOC111119123,B12,0.991
LOC111124927,LOC111124927,B11,0
LOC111124927,LOC111124927,B10,0.679
LOC111124927,LOC111124927,B12,0.679
LOC111124927,LOC111124927,B10,0.755
LOC111124927,LOC111124927,B12,0.755
LOC111124927,LOC111124927,B10,1.437
LOC111124927,LOC111124927,B12,1.437
LOC111124927,LOC111124927,B10,1.444
LOC111124927,LOC111124927,B12,1.444
LOC111125384,LOC111125384,B10,0
LOC111125384,LOC111125384,B12,0
LOC111125384,LOC111125384,B10,0.498
LOC111125384,LOC111125384,B10,0.919
LOC111125384,LOC111125384,B12,0.919
LOC111125384,LOC111125384,B10,1.161
LOC111125384,LOC111125384,B11,1.161
LOC111125384,LOC111125384,B10,2.299
LOC111125384,LOC111125384,B12,2.299
LOC111125384,LOC111125384,B10,2.485
LOC111125384,LOC111125384,B11,2.485
LOC111125384,LOC111125384,B10,2.899
LOC111131429,LOC111131429,B10,0
LOC111131429,LOC111131429,B10,0.111
LOC111131429,LOC111131429,B12,0.111
LOC111131429,LOC111131429,B10,0.174
LOC111131429,LOC111131429,B11,0.174
LOC111131429,LOC111131429,B10,0.192
LOC111131429,LOC111131429,B10,0.217
LOC111131429,LOC111131429,B12,0.217
LOC111131429,LOC111131429,B10,0.278
LOC111131429,LOC111131429,B12,0.278
LOC111137638,LOC111137638,B10,0
LOC111137638,LOC111137638,B12,0
LOC111137638,LOC111137638,B10,0.042
LOC111137638,LOC111137638,B11,0.042
LOC111137638,LOC111137638,B10,0.049
LOC111137638,LOC111137638,B10,0.052
LOC111137638,LOC111137638,B10,0.269
LOC111137638,LOC111137638,B10,0.282
LOC111137638,LOC111137638,B10,0.318
LOC111137638,LOC111137638,B10,2.406
LOC111137638,LOC111137638,B12,2.406
LOC111137638,LOC111137638,B10,2.421
LOC111137638,LOC111137638,B12,2.421
LOC111132962,LOC111132962,B10,0
LOC111132962,LOC111132962,B12,0
LOC111132962,LOC111132962,B10,0.382
LOC111132962,LOC111132962,B12,0.382
LOC111132962,LOC111132962,B10,2.54
LOC111132962,LOC111132962,B12,2.54
LOC111132962,LOC111132962,B10,3.67
LOC111132962,LOC111132962,B10,5.482
LOC111132962,LOC111132962,B11,5.482
LOC111132962,LOC111132962,B10,5.496
LOC111132962,LOC111132962,B11,5.496
LOC111104878,LOC111104878,B10,0
LOC111104878,LOC111104878,B12,0
LOC111104878,LOC111104878,B10,1.262
LOC111104878,LOC111104878,B11,1.262
LOC111104878,LOC111104878,B10,1.843
LOC111104878,LOC111104878,B12,1.843
LOC111104878,LOC111104878,B10,1.849
LOC111104878,LOC111104878,B12,1.849
LOC111104878,LOC111104878,B10,1.855
LOC111104878,LOC111104878,B12,1.855
LOC111104878,LOC111104878,B10,2.12
LOC111104878,LOC111104878,B12,2.12
LOC111107462,LOC111107462,B10,0
LOC111107462,LOC111107462,B12,0
LOC111107462,LOC111107462,B10,0.012
LOC111107462,LOC111107462,B12,0.012
LOC111107462,LOC111107462,B11,0.033
LOC111107462,LOC111107462,B12,0.033
LOC111107462,LOC111107462,B10,0.064
LOC111107462,LOC111107462,B12,0.064
LOC111107462,LOC111107462,B10,0.464
LOC111107462,LOC111107462,B11,0.464
LOC111107462,LOC111107462,B10,0.605
LOC111107462,LOC111107462,B10,0.899
LOC111107462,LOC111107462,B12,0.899
LOC111107462,LOC111107462,B12,5.263
