cluster_id,cluster,CA,SE,CASE,n_terms,minF,case_only_cluster,representative_terms
23,Ubiquitin-proteasome / translational repression,6,6,5,6,1.7e-11,no,translation repressor activity; negative regulation of translation; protein polyubiquitination
7,Translation initiation,0,2,7,7,3.1e-08,no,mRNA binding; translation initiation factor activity; translation reinitiation
3,Protein folding / chaperone,3,11,12,15,4.4e-06,no,unfolded protein binding; chaperonin-containing T-complex; protein folding
19,Acid-base / V-type ATPase,2,4,3,4,2e-04,no,"proton-transporting ATPase activity, rotational mechanism; proton transmembrane transport; vacuolar proton-transporting V-type ATPase complex"
26,Mitochondrial calcium,0,0,3,3,0.00042,yes,calcium import into the mitochondrion; uniplex complex; mitochondrial calcium ion homeostasis
4,Cilium / ciliary motility,5,6,12,16,0.00051,no,acrosomal vesicle; ciliary basal body; cilium movement involved in cell motility
12,Stress granule / mRNA processing,6,1,3,8,0.00068,no,mRNA splice site selection; cytoplasmic stress granule; poly(A) binding
24,Na/K ionoregulation,4,3,4,4,0.00186,no,cellular sodium ion homeostasis; cellular potassium ion homeostasis; sodium ion export across plasma membrane
21,Ubiquitin ligase / proteolysis,0,0,4,4,0.01282,yes,ubiquitin protein ligase binding; modification-dependent protein catabolic process; regulation of proteolysis
25,Steroid / progesterone metabolism,0,0,3,3,0.02211,yes,steroid 17-alpha-monooxygenase activity; 17-alpha-hydroxyprogesterone aldolase activity; progesterone metabolic process
