cluster,stress,GO,Term,Fisher,CA,SE,CASE
Ubiquitin-proteasome / translational repression,TRUE,GO:0030371,translation repressor activity,1.7e-11,1,1,1
Ubiquitin-proteasome / translational repression,TRUE,GO:0017148,negative regulation of translation,2.9e-10,1,1,1
Ubiquitin-proteasome / translational repression,TRUE,GO:0000209,protein polyubiquitination,2e-09,1,1,1
Ubiquitin-proteasome / translational repression,TRUE,GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,4.1e-09,1,1,1
Ubiquitin-proteasome / translational repression,TRUE,GO:0061630,ubiquitin protein ligase activity,9.1e-09,1,1,1
Ubiquitin-proteasome / translational repression,TRUE,GO:0008270,zinc ion binding,0.0019,1,1,0
Other: structural constituent of ribosome,FALSE,GO:0003735,structural constituent of ribosome,9e-09,1,1,1
Other: structural constituent of ribosome,FALSE,GO:0022625,cytosolic large ribosomal subunit,6.2e-08,0,1,1
Other: structural constituent of ribosome,FALSE,GO:0022627,cytosolic small ribosomal subunit,4.9e-06,1,1,1
Other: structural constituent of ribosome,FALSE,GO:0003723,RNA binding,1e-04,0,1,1
Other: structural constituent of ribosome,FALSE,GO:0006412,translation,0.00129,1,0,1
Other: structural constituent of ribosome,FALSE,GO:0070181,small ribosomal subunit rRNA binding,0.0057,0,1,1
Other: structural constituent of ribosome,FALSE,GO:0002181,cytoplasmic translation,0.00988,0,1,1
Other: structural constituent of ribosome,FALSE,GO:0000028,ribosomal small subunit assembly,0.01349,1,0,0
Other: structural constituent of ribosome,FALSE,GO:0048027,mRNA 5'-UTR binding,0.01514,0,0,1
Translation initiation,TRUE,GO:0003729,mRNA binding,3.1e-08,0,1,1
Translation initiation,TRUE,GO:0003743,translation initiation factor activity,1.8e-05,0,0,1
Translation initiation,TRUE,GO:0002188,translation reinitiation,0.00667,0,0,1
Translation initiation,TRUE,GO:0048024,"regulation of mRNA splicing, via spliceosome",0.01017,0,1,1
Translation initiation,TRUE,GO:0001732,formation of cytoplasmic translation initiation complex,0.01291,0,0,1
Translation initiation,TRUE,GO:0001731,formation of translation preinitiation complex,0.04105,0,0,1
Translation initiation,TRUE,GO:0016281,eukaryotic translation initiation factor 4F complex,0.04346,0,0,1
